;Human_presence;Agricultural_landuse;Resistance;Speed_of_Recovery;Amplification
Heteropsis_flexuosa;-0.628984763101712;-0.155668798820374;-0.17896854926317;0.0611851364815027;3.41678898613142
Heteropsis_macrophylla;-0.628984763101712;-0.155668798820374;-0.115238381629006;0.0225073588601766;5.23475094286629
Heteropsis_oblongifolia;-0.628984763101712;-0.155668798820374;-0.0853753516936827;0.0725827403929689;3.03169906381904
Heteropsis_flexuosa_2;-0.628984763101712;-0.155668798820374;-0.17896854926317;0.0611851364815027;3.41678898613142
Heteropsis_macrophylla_2;-0.628984763101712;-0.155668798820374;-0.115238381629006;0.0225073588601766;5.23475094286629
Heteropsis_oblongifolia_2;-0.628984763101712;-0.155668798820374;-0.0853753516936827;0.0725827403929689;3.03169906381904
Heliconia_acuminata;-0.500986051446024;-0.0723941673903157;-0.131545497323282;0.674303838868404;0.1493443473837
Heliconia_acuminata_2;-0.500986051446024;-0.0723941673903157;-0.35969798605379;0.499402805399959;0.259361016214826
Heliconia_acuminata_3;-0.500986051446024;-0.0723941673903157;-0.157058669148545;0.635922187542229;0.16347249587129
Heliconia_acuminata_4;-0.500986051446024;-0.0723941673903157;-0.267357216668369;0.510390873563083;0.142015098074406
Heliconia_acuminata_5;-0.500986051446024;-0.0723941673903157;-0.238489214236765;0.68555971896195;0.168736347463504
Mauritia_flexuosa;1.00984415908621;0.779423806250643;-0.730692919337011;0.118656550251159;3.21835740021187
Machaerium_cuspidatum;-0.792736922476924;-0.321167665815506;-0.314539779264681;0.053865240774356;3.41031066808739
Machaerium_cuspidatum_2;-0.792736922476924;-0.321167665815506;-0.263267034731791;0.0315361722429905;4.36238850365752
Machaerium_cuspidatum_3;-0.792736922476924;-0.321167665815506;-0.356260314487948;0.0756486499519225;1.66100567522429
Geonoma_macrostachys;-0.792736922476924;-0.321167665815506;-0.264612289938863;0.128798705698222;3.07405989581305
Shorea_acuminata;-0.195410375092817;0.244337019774837;-0.0421378071395057;0.0389138591602848;1.81598008488517
Shorea_acuminata_2;-0.195410375092817;0.244337019774837;-0.0479985142416884;0.0401429210463821;2.39531520573381
Shorea_acuminata_3;-0.195410375092817;0.244337019774837;-0.0549141971217469;0.0288150722382375;3.45768281416139
Shorea_bracteolata;-0.195410375092817;0.244337019774837;-0.0413588657867278;0.0252924183065817;2.30542815142646
Shorea_bracteolata_2;-0.195410375092817;0.244337019774837;-0.0485925333789402;0.0373150225536489;3.47247948298365
Shorea_bracteolata_3;-0.195410375092817;0.244337019774837;-0.0388144922880574;0.0331620163774403;2.4861115267239
